Object Number,Is Highlight,Is Public Domain,Object ID,Department,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Metadata Date,Repository
30.4.144,False,False,557813,Egyptian Art,"Facsimile, Nefertari (QV 66)","Queen Nefertari Kneeling in Adoration, Tomb of Nefertari",,"New Kingdom, Ramesside",Dynasty 19,reign of Ramesses II,,Artist,,Nina de Garis Davies,1881–1965,,"Davies, Nina de Garis",,1881      ,1965      ,ca. 1279–1213 B.C.,-1279,-1213,Tempera on paper,"H. 46 cm (18 1/8 in); w. 34 cm (13 3/8 in)
scale 1:2","Rogers Fund, 1930",Original from,,,,Egypt,"Upper Egypt, Thebes",Valley of the Queens (Biban el-Malikat),Tomb of Nefertari (QV 66),,,,,,http://www.metmuseum.org/art/collection/search/557813,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
30.4.64,False,False,557695,Egyptian Art,"Facsimile, Qenamun (TT 93), dancer, music","Female Dancers in Funeral Procession, Tomb of Qenamun",,New Kingdom,Dynasty 18,reign of Amenhotep II,,Artist,,Nina de Garis Davies,1881–1965,,"Davies, Nina de Garis",,1881      ,1965      ,ca. 1427–1400 B.C.,-1427,-1400,Tempera on paper,facsimile: h. 43 cm (16 15/16 in); w. 65 cm (25 9/16 in); scale 1:1; framed: h. 46.4 cm (18 1/4 in); w. 69.5 cm (27 3/8 in),"Rogers Fund, 1930",From,,,,Egypt,"Upper Egypt, Thebes",Sheikh Abd el-Qurna,Tomb of Kenamun (TT 93),,,,,,http://www.metmuseum.org/art/collection/search/557695,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
30.4.143,False,False,557812,Egyptian Art,"Facsimile, Nefertari (QV 66)","Vignette from the Book of the Dead, Tomb of Nefertari",,"New Kingdom, Ramesside",Dynasty 19,reign of Ramesses II,,Artist,,Nina de Garis Davies,1881–1965,,"Davies, Nina de Garis",,1881      ,1965      ,ca. 1279–1213 B.C.,-1279,-1213,Tempera on paper,Facsimile: H. 41 × W. 68 cm (16 1/8 × 26 3/4 in.); scale about 4:7; Framed: H. 44.6 × W. 71 cm (17 9/16 × 27 15/16 in.),"Rogers Fund, 1930",Original from,,,,Egypt,"Upper Egypt, Thebes",Valley of the Queens (Biban el-Malikat),Tomb of Nefertari (QV 66),,,,,,http://www.metmuseum.org/art/collection/search/557812,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
23.2.81,False,False,557790,Egyptian Art,"Facsimile, Haremhab, KV 57","Facsimile Detail of the Book of Gates, Tomb of Haremhab",,Twentieth Century; original New Kingdom,Dynasty 18,reign of Haremhab,,Artist,,Lancelot Crane,1880–1918,,"Crane, Lancelot",,1880      ,1918      ,A.D. 1910–1911; original ca. 1323–1295 B.C.,-1323,-1323,Tempera on paper,"Facsimile H. 46 cm (18 1/8 in); w. 60 cm (23 5/8 in)
Scale probably 1:1
Framed H. 42.5 cm (16 3/4 in); w. 61.3 cm (24 1/8 in)","Rogers Fund, 1923",From,,,,Egypt,"Upper Egypt, Thebes",Valley of the Kings,Tomb of Haremhab (KV 57),,,,,,http://www.metmuseum.org/art/collection/search/557790,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
53.37,False,True,470328,The Cloisters,Painting,The Intercession of Christ and the Virgin,Italian,,,,,Artist,Attributed to,Lorenzo Monaco (Piero di Giovanni),"Italian, Florence (?) ca. 1370–1425 Florence (?)",,Lorenzo Monaco (Piero di Giovanni),Italian,1370      ,1425      ,before 1402,1402,1402,Tempera on canvas,Overall: 94 1/4 x 60 1/4 x 1 in. (239.4 x 153 x 2.5 cm),"The Cloisters Collection, 1953",Made in,Florence,,Tuscany,Italy,,,,,,,Paintings-Canvas,,http://www.metmuseum.org/art/collection/search/470328,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
30.4.137,False,True,544561,Egyptian Art,"Facsimile, Hatshepsut, Thutmose I, Seniseneb",Thutmose I and His Mother Seniseneb,,New Kingdom,Dynasty 18,Joint reign of Hatshepsut and Thutmose III,,Artist,,Nina de Garis Davies,1881–1965,,"Davies, Nina de Garis",,1881      ,1965      ,A.D. 1925; original ca. 1479–1458 B.C.,-1473,-1458,Tempera on paper,"Facsimile: H. 81.5 cm (32 1/16 in.); W. 71 cm (27 15/16 in.)
scale 1:1
Framed: H. 83.3 cm (32 13/16 in.); W. 73.1 cm (28 3/4 in.)","Rogers Fund, 1930",Original from,,,,Egypt,"Upper Egypt, Thebes",Deir el-Bahri,Temple of Hatshepsut,,,,,,http://www.metmuseum.org/art/collection/search/544561,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
14.102.61,False,True,6225,American Decorative Arts,Plate,Plate,British (American market),,,,,Maker,,Enoch Wood & Sons,"British, active Burslem, 1818–46",,"Wood & Sons, Enoch",British,1818      ,1846      ,ca. 1820–ca. 1846,1817,1849,"Earthenware, transfer-printed",Diam. 9 1/8 in. (23.2 cm),"Bequest of Mary Mandeville Johnston, from the collection of Mr. and Mrs. Edward W. S. Johnston, 1914",Made in,Stoke-on-Trent,Staffordshire,Staffordshire,England,,,,,,,Ceramics,,http://www.metmuseum.org/art/collection/search/6225,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
14.102.11,False,True,6223,American Decorative Arts,Plate,Plate,British (American market),,,,,Maker,,Enoch Wood & Sons,"British, active Burslem, 1818–46",,"Wood & Sons, Enoch",British,1818      ,1846      ,ca. 1828–ca. 1846,1825,1849,"Earthenware, transfer-printed",Diam. 7 1/2 in. (19.1 cm),"Bequest of Mary Mandeville Johnston, from the collection of Mr. and Mrs. Edward W. S. Johnston, 1914",Made in,Stoke-on-Trent,Staffordshire,Staffordshire,England,,,,,,,Ceramics,,http://www.metmuseum.org/art/collection/search/6223,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
50.180a-l,False,True,472381,The Cloisters,Fresco,The Virgin and Child in Majesty and the Adoration of the Magi,Catalan,,,,,Artist,Attributed to the,Master of Pedret,"Spanish, Catalonia, 12th century",,Master of Pedret,Spanish,1100      ,1199      ,ca. 1100,1100,1100,"Fresco, transferred to canvas","Overall (a-c): 127 x 233 1/4 in. (322.6 x 592.5 cm)
Overall (d): 36 1/2 x 17 3/4 in. (92.7 x 45.1 cm)
Overall (e): 33 1/4 x 18 1/2 in. (84.5 x 47 cm)
Overall (f): 43 x 17 in. (109.2 x 43.2 cm)
Overall (g): 57 1/4 x 18 3/4 in. (145.4 x 47.6 cm)
Overall (h): 46 3/4 x 20 1/4 in. (118.7 x 51.4 cm)
Overall (i): 53 x 20 1/4 in. (134.6 x 51.4 cm)
Overall (j): 42 x 20 in. (106.7 x 50.8 cm)
Overall (k): 44 x 17 1/4 in. (111.8 x 43.8 cm)
Overall (l): 45 1/4 x 14 in. (114.9 x 35.6 cm)","The Cloisters Collection, 1950",Made in,Lerida,,Catalonia,Spain,,,,,,,Paintings-Fresco,,http://www.metmuseum.org/art/collection/search/472381,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
98.1.65,False,False,6222,American Decorative Arts,Plate,Plate,British (American market),,,,,Maker,,Enoch Wood & Sons,"British, active Burslem, 1818–46",,"Wood & Sons, Enoch",British,1818      ,1846      ,ca. 1818–ca. 1846,1815,1849,"Earthenware, transfer-printed",Diam. 6 3/8 in. (16.2 cm),"Gift of Mrs. Isaac Gibson Jaffray, in memory of her husband, 1898",Made in,Stoke-on-Trent,Staffordshire,Staffordshire,England,,,,,,,Ceramics,,http://www.metmuseum.org/art/collection/search/6222,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
23.2.82,False,False,557791,Egyptian Art,"Facsimile, Haremhab, KV 57","Detail from the Book of Gates, Tomb of Haremhab",,Twentieth Century; original New Kingdom,Dynasty 18,reign of Haremhab,,Artist,,Lancelot Crane,1880–1918,,"Crane, Lancelot",,1880      ,1918      ,A.D. 1910–1911; original ca. 1323–1295 B.C.,-1323,-1323,Tempera on paper,"Facsimile H. 45 cm (17 11/16 in); w. 42 cm (16 9/16 in)
Scale probably 1:1
Framed H. 44.5 cm (17 1/2 in); w. 43.5 cm (17 1/8 in)","Rogers Fund, 1923",From,,,,Egypt,"Upper Egypt, Thebes",Valley of the Kings,Tomb of Haremhab (KV 57),,,,,,http://www.metmuseum.org/art/collection/search/557791,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
16.83.3,False,True,7659,American Decorative Arts,Soup plate,Soup Plate,British (American market),,,,,Maker,,James and Ralph Clews,"British, Cobridge, Stoke-on-Trent, active ca. 1818–36",,"Clews, James and Ralph",British,1813      ,1836      ,ca. 1815–ca. 1834,1812,1837,"Earthenware, transfer-printed",Diam. 10 3/4 in. (27.3 cm),"Bequest of May Leask, 1916",Made in,Stoke-on-Trent,Staffordshire,Staffordshire,England,,,,,,,Ceramics,,http://www.metmuseum.org/art/collection/search/7659,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
30.4.34,False,True,557808,Egyptian Art,"Facsimile, Userhat (TT 51), voyage to Abydos","Userhat and Wife Visit Abydos, Tomb of Userhat",,"Twentieth Century; original New Kingdom, Ramesside",Dynasty 19,reign of Seti I,,Artist,,Norman de Garis Davies,1865–1941,,"Davies, Norman de Garis",,1865      ,1941      ,A.D. 1909–1910; original ca. 1294–1279 B.C.,-1294,-1279,Tempera on paper,"Facsimile H. 47 cm (18 1/2 in.); W. 168 cm (66 1/8 in.)
scale 1:1
Framed H. 50 cm (19 11/16 in.); W. 170 cm (66 15/16 in.)","Rogers Fund, 1930",From,,,,Egypt,"Upper Egypt, Thebes",Sheikh Abd el-Qurna,Tomb of Userhat (TT 51),,,,,,http://www.metmuseum.org/art/collection/search/557808,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
30.4.83,False,True,544618,Egyptian Art,"Facsimile, Rekhmire (TT 100), Asians","Syrians Bringing Vessels and Weapons, Tomb of Rekhmire",,New Kingdom,Dynasty 18,reign of Thutmose III–early Amenhotep II,,Artist,,Nina de Garis Davies,1881–1965,,"Davies, Nina de Garis",,1881      ,1965      ,ca. 1479–1425 B.C.,-1479,-1425,Tempera on Paper,Facsimile: H. 47 × W. 36.6 cm (18 1/2 × 14 7/16 in.); Framed: H. 48.9 × W. 38.1 cm (19 1/4 × 15 in.); Scale. 1:1,"Rogers Fund, 1930",Original from,,,,Egypt,"Upper Egypt, Thebes",Sheikh Abd el-Qurna,Tomb of Rekhmire (TT 100),,,,,,http://www.metmuseum.org/art/collection/search/544618,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
48.105.33,False,False,544537,Egyptian Art,"Facsimile, Khety (TT 311, MMA 508), friese d'objets",Facsimile of the paintings on the south wall of the burial crypt in the tomb of Khety,,First Intermediate Period–Middle Kingdom,Dynasty 11,reign of Mentuhotep II,,Artist,,Charles K. Wilkinson,,,"Wilkinson, Charles K.",,1897      ,1986      ,ca. 2051–2000 B.C.,-2051,-2000,Tempera on paper,"facsimile: h. 53.5 cm (21 1/16 in); w. 92.2 cm (36 5/16 in)
Scale 1:4
framed: h. 59.7 cm (23 1/2 in); w. 96.5 cm (38 in)","Rogers Fund, 1948",From,,,,Egypt,"Upper Egypt, Thebes",Deir el-Bahri,"Tomb of Khety (TT 311, MMA 508)",Burial chamber,,,,,http://www.metmuseum.org/art/collection/search/544537,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
23.2.83,False,False,557792,Egyptian Art,"Facsimile, Haremhab, KV 57","Facsimile of an Unfinished Section of the Book of Gates, Tomb of Haremhab",,Twentieth Century; original New Kingdom,Dynasty 18,reign of Haremhab,,Artist,,Lancelot Crane,1880–1918,,"Crane, Lancelot",,1880      ,1918      ,A.D. 1910–1911; original ca. 1323–1295 B.C.,-1323,-1323,Tempera on paper,"Facsimile H. 35.5 cm (14 in); w. 62.5 cm (24 5/8 in)
Scale probably 1:1
Framed H. 34 cm (13 3/8 in); w. 64.1 cm (25 1/4 in)","Rogers Fund, 1923",Original from,,,,Egypt,"Upper Egypt, Thebes",Valley of the Kings,Tomb of Haremhab (KV 57),,,,,,http://www.metmuseum.org/art/collection/search/557792,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
1975.25,False,True,471993,The Cloisters,Statue,Standing Bishop,German,,,,,Artist,Workshop of,Tilman Riemenschneider,"German, 1460–1531",,Riemenschneider Tilman,German,1460      ,1531      ,ca. 1505,1505,1505,Limewood with paint and gilding,Overall: 46 1/16 x 13 3/8 x 9 1/2 in. (117 x 34 x 24.1 cm),"The Cloisters Collection, 1975",Made in,Würzburg,,Lower Franconia,Germany,,,,,,,Sculpture-Wood,,http://www.metmuseum.org/art/collection/search/471993,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
14.102.279,False,True,6217,American Decorative Arts,Plate,Plate,British (American market),,,,,Maker,,William Adams & Sons,"British, active ca. 1819–present",,"William, Adams & Sons",British,1814      ,2063      ,ca. 1834–ca. 1864,1831,1867,"Earthenware, transfer-printed",Diam. 10 3/8 in. (26.4 cm),"Bequest of Mary Mandeville Johnston, from the collection of Mr. and Mrs. Edward W. S. Johnston, 1914",Made in,Stoke-on-Trent,Staffordshire,Staffordshire,England,,,,,,,Ceramics,,http://www.metmuseum.org/art/collection/search/6217,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
14.102.192,False,True,6216,American Decorative Arts,Plate,Plate,British (American market),,,,,Maker,,William Adams & Sons,"British, active ca. 1819–present",,"William, Adams & Sons",British,1814      ,2063      ,ca. 1830–ca. 1840,1827,1843,"Earthenware, transfer-printed",Diam. 7 7/8 in. (20 cm),"Bequest of Mary Mandeville Johnston, from the collection of Mr. and Mrs. Edward W. S. Johnston, 1914",Made in,Stoke-on-Trent,Staffordshire,Staffordshire,England,,,,,,,Ceramics,,http://www.metmuseum.org/art/collection/search/6216,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
23.2.84,False,True,557793,Egyptian Art,"Facsimile, Haremhab, KV 57","The King with Anubis, Tomb of Haremhab",,Twentieth Century; original New Kingdom,Dynasty 18,reign of Haremhab,,Artist,,Lancelot Crane,1880–1918,,"Crane, Lancelot",,1880      ,1918      ,A.D. 1910–1911; original ca. 1323–1295 B.C.,-1323,-1323,Tempera on paper,"Facsimile H. 63 cm (24 13/16 in); w. 35.5 cm (14 in)
Scale unknown
Framed H. 65.4 cm (25 3/4 in); w. 38.7 cm (15 1/4 in)","Rogers Fund, 1923",From,,,,Egypt,"Upper Egypt, Thebes",Valley of the Kings,Tomb of Haremhab (KV 57),,,,,,http://www.metmuseum.org/art/collection/search/557793,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
1979.485.1,False,False,8548,American Decorative Arts,Tile,Tile,American,,,,,Designer|Manufacturer,Designed by|Manufactured by,Frank Lloyd Wright|Luxfer Prism Company,"American, Richland Center, Wisconsin 1867–1959 Phoenix, Arizona",,"Wright, Frank Lloyd|Luxfer Prism Company ",American,1867      ,1959      |9999      ,ca. 1895,1892,1895,Lacy pressed glass,4 x 4 in. (10.2 x 10.2 cm),"Gift of Thomas A. Heinz, 1979",Made in,Chicago,,,United States,,,,,,,Glass,"© 2018 Artists Rights Society (ARS), New York",http://www.metmuseum.org/art/collection/search/8548,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
1979.485.2,False,False,8549,American Decorative Arts,Tile,Tile,American,,,,,Designer|Manufacturer,Designed by|Manufactured by,Frank Lloyd Wright|Luxfer Prism Company,"American, Richland Center, Wisconsin 1867–1959 Phoenix, Arizona",,"Wright, Frank Lloyd|Luxfer Prism Company ",American,1867      ,1959      |9999      ,ca. 1895,1892,1895,Lacy pressed glass,4 x 4 in. (10.2 x 10.2 cm),"Gift of Thomas A. Heinz, 1979",Made in,Chicago,,,United States,,,,,,,Glass,"© 2018 Artists Rights Society (ARS), New York",http://www.metmuseum.org/art/collection/search/8549,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
15.5.1,False,True,557768,Egyptian Art,"Facsimile, Anen, TT 226, Amenhotep III, Mutemwia","Amenhotep III and his Mother, Mutemwia, in a Kiosk",,Twentieth Century; original New Kingdom,Dynasty 18,reign of Amenhotep III,,Artist,,Nina de Garis Davies,1881–1965,,"Davies, Nina de Garis",,1881      ,1965      ,A.D. 1914; original ca. 1390–1353 B.C.,-1390,-1353,Tempera on paper,"Facsimile H. 232.9 cm (91 11/16 in.); W. 162.6 cm (64 in.)
Scale 1:1
Framed: H. 2.35 m (92 1/2 in.); W. 1.64 m (64 3/4 in.); Th. 3.8 cm (1 1/2 in.)","Rogers Fund, 1915",Original from,,,,Egypt,"Upper Egypt, Thebes",Sheikh Abd el-Qurna,Tomb TT 226,,,,,,http://www.metmuseum.org/art/collection/search/557768,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
1979.485.3,False,False,8550,American Decorative Arts,Tile,Tile,American,,,,,Designer|Manufacturer,Designed by|Manufactured by,Frank Lloyd Wright|Luxfer Prism Company,"American, Richland Center, Wisconsin 1867–1959 Phoenix, Arizona",,"Wright, Frank Lloyd|Luxfer Prism Company ",American,1867      ,1959      |9999      ,ca. 1895,1892,1895,Lacy pressed glass,4 x 4 in. (10.2 x 10.2 cm),"Gift of Thomas A. Heinz, 1979",Made in,Chicago,,,United States,,,,,,,Glass,"© 2018 Artists Rights Society (ARS), New York",http://www.metmuseum.org/art/collection/search/8550,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
14.102.138,False,True,6527,American Decorative Arts,Platter,Platter,British (American market),,,,,Maker,,John & William Ridgway,"British, Shelton, active ca. 1814–30",,"Ridgway, John & William",British,1809      ,1830      ,ca. 1814–ca. 1830,1811,1833,"Earthenware, transfer-printed",14 1/8 x 18 1/2 in. (35.9 x 47 cm),"Bequest of Mary Mandeville Johnston, from the collection of Mr. and Mrs. Edward W. S. Johnston, 1914",Made in|Made in,Stoke-on-Trent|Stoke-on-Trent,Staffordshire|Staffordshire,Staffordshire|Staffordshire,England|England,,,,,,,Ceramics,,http://www.metmuseum.org/art/collection/search/6527,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
14.102.68,False,True,6526,American Decorative Arts,Platter,Platter,British (American market),,,,,Maker,,John & William Ridgway,"British, Shelton, active ca. 1814–30",,"Ridgway, John & William",British,1809      ,1830      ,ca. 1830,1827,1830,"Earthenware, transfer-printed",15 3/8 x 20 3/8 in. (39.1 x 51.8 cm),"Bequest of Mary Mandeville Johnston, from the collection of Mr. and Mrs. Edward W. S. Johnston, 1914",Made in,Stoke-on-Trent,Staffordshire,Staffordshire,England,,,,,,,Ceramics,,http://www.metmuseum.org/art/collection/search/6526,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
30.4.87,False,True,544629,Egyptian Art,"Facsimile, Rekhmire (TT 100), provisions, Nubia","Provisions from Nubia Stored in the Temple, Tomb of Rekhmire",,New Kingdom,Dynasty 18,reign of Thutmose III–early Amenhotep II,,Artist,,Nina de Garis Davies,1881–1965,,"Davies, Nina de Garis",,1881      ,1965      ,ca. 1479–1425 B.C.,-1479,-1425,Tempera on Paper,"facsimile: h. 17.5 cm (6 7/8 in); w. 38 cm (14 15/16 in)
scale 1:1
framed: h.","Rogers Fund, 1930",Original from,,,,Egypt,"Upper Egypt, Thebes",Sheikh Abd el-Qurna,Tomb of Rekhmire (TT 100),,,,,,http://www.metmuseum.org/art/collection/search/544629,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
30.4.135,False,True,557782,Egyptian Art,"Facsimile, Amarna, princesses",Two Princesses,,"New Kingdom, Amarna Period",Dynasty 18,reign of Akhenaten,,Artist,,Nina de Garis Davies,1881–1965,,"Davies, Nina de Garis",,1881      ,1965      ,ca. 1353–1336 B.C.,-1353,-1336,Tempera on Paper,"H. 11 13/16 in. (30 cm); W. 14 15/16 in. (38 cm)
scale 1:1","Rogers Fund, 1930",Original from,,,,Egypt,Middle Egypt,Amarna (Akhetaten),King's House,,,,,,http://www.metmuseum.org/art/collection/search/557782,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
25.120.217,False,True,470265,The Cloisters,Statue,Kneeling Virgin,Italian,,,,,Artist,Attributed to,Paolo Aquilano  ,"Italian, Abruzzo, active ca. 1475–1503",(Sculptor of the Berlin Enthroned Virgin?),"Aquilano, Paolo  ",Italian,1475      ,1503      ,ca. 1475–1500,1471,1503,Willow with paint and gilding,"Overall: 46 1/8 x 31 1/2 x 19 3/4 in., 63lb. (117.2 x 80 x 50.2 cm, 28576.6g)","The Cloisters Collection, 1925",Made in,,,Abruzzo,Italy,,,,,,,Sculpture-Wood,,http://www.metmuseum.org/art/collection/search/470265,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
10.57.36,False,False,6534,American Decorative Arts,Platter,Platter,British (American market),,,,,Maker,,William Adams & Sons,"British, active ca. 1819–present",,"William, Adams & Sons",British,1814      ,2063      ,ca. 1834–ca. 1864,1831,1867,"Earthenware, transfer-printed",W. 14 in. (35.6 cm),"Gift of Mrs. Abraham Lansing, 1910",Made in,Stoke-on-Trent,Staffordshire,Staffordshire,England,,,,,,,Ceramics,,http://www.metmuseum.org/art/collection/search/6534,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
69.141.4,False,False,8803,American Decorative Arts,Tray,Tray,American,,,,,Maker,,James Dixon & Sons,"British, founded Sheffield, 1806",,"Dixon, James & Sons",British,1806      ,2063      ,1835–50,1835,1850,Fused silver plate,2 3/4 x 36 15/16 x 23 1/8 in. (7 x 93.8 x 58.7 cm); 293 oz. 1 dwt. (9114.4 g),"Gift of Mrs. F. R. Lefferts, 1969",Made in,Sheffield,South Yorkshire,South Yorkshire,England,,,,,,,Silver,,http://www.metmuseum.org/art/collection/search/8803,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
30.4.152,False,True,544606,Egyptian Art,"Facsimile, Rekhmire (TT 100), Puntites","Men from Punt Carrying Gifts, Tomb of Rekhmire",,New Kingdom,Dynasty 18,reign of Thutmose III–early Amenhotep II,,Artist,,Nina de Garis Davies,1881–1965,,"Davies, Nina de Garis",,1881      ,1965      ,ca. 1479–1420 B.C.,-1479,-1420,Tempera on paper,"Facsimile: H. 46 cm (18 1/8 in.); W. 61.5 cm (24 3/16 in.)
scale 1:1
Frame: H. 49 cm (19 5/16 in.); W. 65.5 cm (25 13/16 in.)","Rogers Fund, 1930",Original from,,,,Egypt,"Upper Egypt, Thebes",Sheikh Abd el-Qurna,Tomb of Rekhmire (TT 100),,,,,,http://www.metmuseum.org/art/collection/search/544606,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
33.8.2,False,True,544632,Egyptian Art,"Facsimile, Rekhmire (TT 100), rope making","Man Making Leather Rope, Tomb of Rekhmire",,New Kingdom,Dynasty 18,reign of Thutmose III–Amenhotep II,,Artist,,Nina de Garis Davies,1881–1965,,"Davies, Nina de Garis",,1881      ,1965      ,ca. 1479–1400 B.C.,-1479,-1479,Tempera on paper,"facsimile: h. 28 cm (11 in); w. 50 cm (19 11/16 in)
Scale 1:1
framed: h. 31.8 cm (12 1/2 in); w. 53.3 cm (21 in)","Rogers Fund, 1933",Original from,,,,Egypt,"Upper Egypt, Thebes",Sheikh Abd el-Qurna,Tomb of Rekhmire (TT 100),,,,,,http://www.metmuseum.org/art/collection/search/544632,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
30.4.84,False,True,544609,Egyptian Art,"Facsimile, Rekhmire (TT 100), foreigners, Keftiu","Cretans Bringing Gifts, Tomb of Rekhmire",,New Kingdom,Dynasty 18,reign of Thutmose III–early Amenhotep II,,Artist,,Nina de Garis Davies,1881–1965,,"Davies, Nina de Garis",,1881      ,1965      ,ca. 1479–1425 B.C.,-1479,-1425,Tempera on paper,H. 47.3 × W. 48.4 cm (18 5/8 × 19 1/16 in.); scale 1:1; framed: H. 48.5 × W. 49.9 cm (19 1/8 × 19 5/8 in.),"Rogers Fund, 1930",Original from,,,,Egypt,"Upper Egypt, Thebes",Sheikh Abd el-Qurna,Tomb of Rekhmire (TT 100),,,,,,http://www.metmuseum.org/art/collection/search/544609,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
30.4.88,False,True,544626,Egyptian Art,"Facsimile, Rekhmire (TT 100), beekeeping","Gathering Honey, Tomb of Rekhmire",,New Kingdom,Dynasty 18,reign of Thutmose III–early Amenhotep II,,Artist,,Nina de Garis Davies,1881–1965,,"Davies, Nina de Garis",,1881      ,1965      ,ca. 1479–1425 B.C.,-1479,-1425,Tempera on Paper,"facsimile: h. 33 cm (13 in); w. 43.5 cm (17 1/8 in)
scale 1:1
framed: h. 36.2 cm (14 1/4 in); w. 46.7 cm (18 3/8 in)","Rogers Fund, 1930",Original from,,,,Egypt,"Upper Egypt, Thebes",Sheikh Abd el-Qurna,Tomb of Rekhmire (TT 100),,,,,,http://www.metmuseum.org/art/collection/search/544626,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
14.102.4,False,True,6516,American Decorative Arts,Platter,Platter,British (American market),,,,,Maker,,James and Ralph Clews,"British, Cobridge, Stoke-on-Trent, active ca. 1818–36",,"Clews, James and Ralph",British,1813      ,1836      ,ca. 1834,1831,1834,"Earthenware, transfer-printed",12 7/8 x 15 5/8 in. (32.7 x 39.7 cm),"Bequest of Mary Mandeville Johnston, from the collection of Mr. and Mrs. Edward W. S. Johnston, 1914",Made in,Stoke-on-Trent,Staffordshire,Staffordshire,England,,,,,,,Ceramics,,http://www.metmuseum.org/art/collection/search/6516,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
"33.108a, b",False,True,9171,American Decorative Arts,Urn,Urn,American,,,,,Designer|Manufacturer,Possibly designed by|Possibly by,John Frederick Amelung|New Bremen Glass Manufactory,active 1784–ca. 1791|1784–1795,,"Amelung, John Frederick|New Bremen Glass Manufactory ",,1784      |1784      ,1791      |1795      ,1788–95,1788,1795,Blown glass,H. 15 1/4 in. (38.7 cm),"Rogers Fund, 1933",Made in,New Bremen,Frederick County,Frederick County,United States,,,,,,,Glass,,http://www.metmuseum.org/art/collection/search/9171,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
16.83.9,False,True,6232,American Decorative Arts,Plate,Plate,British (American market),,,,,Maker,,Enoch Wood & Sons,"British, active Burslem, 1818–46",,"Wood & Sons, Enoch",British,1818      ,1846      ,ca. 1826–ca. 1846,1823,1849,"Earthenware, transfer-printed",Diam. 10 in. (25.4 cm),"Bequest of May Leask, 1916",Made in,Stoke-on-Trent,Staffordshire,Staffordshire,England,,,,,,,Ceramics,,http://www.metmuseum.org/art/collection/search/6232,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
