Reign,Period,Dynasty,State,Region,Artist Nationality,City,Culture,Classification,Artist Alpha Sort,Country,Title,Object Name
,,,Staffordshire,,British,Stoke-on-Trent,British (American market),Ceramics,"Wood & Sons, Enoch",England,Plate,Plate
,,,Staffordshire,,British,Stoke-on-Trent,British (American market),Ceramics,"William, Adams & Sons",England,Cup Plate,Cup plate
,,,,,American,New York,American,Glass,"Tiffany, Louis Comfort|Tiffany Glass and Decorating Company|Tiffany Studios ",United States,Vase,Vase
,,,,,American,New York,American,Architecture,"Dikeman, Fred|Tiffany, Louis Comfort|Dikeman, Fred and Nancy Lee",United States,Mosaic Panel,Mosaic panel
,,,,,American,New York,American,Glass,"Tiffany Glass and Decorating Company|Tiffany Studios |Tiffany, Louis Comfort",United States,Vase,Vase
,,,,,American,New York,American,Glass,"Tiffany, Louis Comfort|Tiffany Glass and Decorating Company|Tiffany Studios ",United States,Vase,Vase
,,,,,American,New York,American,Glass,"Tiffany, Louis Comfort|Tiffany Glass and Decorating Company|Tiffany Studios ",United States,Vase,Vase
,,,Staffordshire,,British,Stoke-on-Trent,British (American market),Ceramics,"William, Adams & Sons",England,Vegetable Dish,Vegetable dish
,,,,,American,New York,American,Glass,"Tiffany, Louis Comfort|Tiffany Glass and Decorating Company|Tiffany Studios ",United States,Vase,Vase
,,,,,American,New York,American,Glass,"Tiffany, Louis Comfort|Tiffany Studios |Tiffany Glass and Decorating Company",United States,Vase,Vase
,,,Brooklyn,,American,New York,American,Ceramics,"Müller, Karl L. H.",United States,Plaque,Plaque
,,,Brooklyn,,American,New York,American,Ceramics,"Volkmar, Charles|Volkmar Ceramic Company",United States,Plaque,Plaque
,,,Brooklyn,,American,New York,American,Ceramics,"Volkmar, Charles|Volkmar Ceramic Company",United States,Plaque,Plaque
,,,Staffordshire,,British,Stoke-on-Trent,British (American market),Ceramics,"William, Adams & Sons",England,Dish,Dish
,,,Staffordshire,,British,Stoke-on-Trent,British (American market),Ceramics,"Clews, James and Ralph",England,Plate,Plate
,,,Staffordshire,,British,Stoke-on-Trent,British (American market),Ceramics,"Wood & Sons, Enoch",England,Plate,Plate
,,,Staffordshire,,British,Stoke-on-Trent,British (American market),Ceramics,"Clews, James and Ralph",England,Plate,Plate
,,,,,American,New York,American,Glass,"Tiffany, Louis Comfort|Tiffany Glass and Decorating Company|Tiffany Studios ",United States,Mosaic Plaque,Mosaic plaque
,,,,Mid-Atlantic,American,New York,American,Textiles-Printed,"Crawford, M. D. C.|Converse and Company ",America,Sample,Textile sample
,,,Corona,,,St. Petersburg|New York,"American, Russian",Glass,"Aarne, Viktor|FABERGÉ, HOUSE OF CARL|Tiffany Furnaces",Russia|United States,Vase with serpent mounts,Vase
,,,,Mid-Atlantic,American|Hungarian,New York,American,Textiles-Printed,"Wesley Simpson, Inc. |Vertes, Marcel",America,Piece,Sample
,,,,Mid-Atlantic,American,New York,American,Textiles-Printed,"Reckendorf, Fritzi|Onondaga Silk Company, Inc.",America,Piece,Sample
,,,,Mid-Atlantic,American,New York,American,Textiles-Printed,"Martin, Zue|Onondaga Silk Company, Inc.",America,Piece,Sample
,,,,Mid-Atlantic,American,New York,American,Textiles-Printed,"Strasser, Simone|Onondaga Silk Company, Inc.",America,Piece,Sample
,,,,Mid-Atlantic,American|Hungarian,New York,American,Textiles-Printed,"Wesley Simpson, Inc. |Vertes, Marcel",America,Piece,Sample
,,,,,American,New York,American,Textiles,"Wright, Frank Lloyd|Schumacher & Co., F.",United States,Curtain,Woven curtain
,,,,Mid-Atlantic,American|Hungarian,New York,American,Textiles-Printed,"Wesley Simpson, Inc. |Vertes, Marcel",America,Piece,Sample
,,,,Mid-Atlantic,American|American,New York,American,Textiles-Printed,"Reynolds, James|Wesley Simpson, Inc. ",America,Piece,Sample
,,,,Mid-Atlantic,"American, born Austria-Hungary|American",New York,American,Textiles-Printed,"Bemelmans, Ludwig|Wesley Simpson, Inc. ",America,Piece,Sample
Joint reign of Hatshepsut and Thutmose III,"Modern, after New Kingdom (ca. 1479–1458 B.C.) original",Dynasty 18,,"Upper Egypt, Thebes",British,,,,"Carter, Howard",Egypt,"Hatshepsut's Mother, Queen Ahmose","Facsimile, Hatshepsut's Temple, Queen Ahmose"
,,,Bergen County,,American,,American,Textiles,"Haring, David Daniel",United States,Crib or Doll Coverlet,Coverlet
,,,,,American,Tokyo,American,Furniture,"Wright, Frank Lloyd|Matsu-Zukaya Company ",Japan,Side Chair,Side Chair
,,,,,American,Tokyo,American,Furniture,"Matsu-Zukaya Company |Wright, Frank Lloyd",Japan,Side Chair,Side Chair
,,,,,American,Riverside,American,Ceramics,"Wright, Frank Lloyd|Bauscher Brothers Porcelain Factory ",United States,Plate,Plate
reign of Ahmose,Twentieth Century; original Early New Kingdom,Dynasty 18,|,"Upper Egypt, Thebes",,,,,"Wilkinson, Charles K.",Egypt,Ceiling Decoration,"Facsimile, Tetiky (TT 15), ceiling"
,,,Suffolk County,,American,Sag Harbor,American,Textiles,"Coleman, Ruth Culver",United States,Embroidered coverlet,Coverlet
,,,New London County,,American,Stonington,American,Textiles,"Breed, Mary",United States,Embroidered coverlet,Coverlet
,,,,Mid-Atlantic,American,New York,American,Textiles-Printed,"Reckendorf, Fritzi|Onondaga Silk Company, Inc.",America,Piece,Sample
,,,,Mid-Atlantic,American,New York,American,Textiles-Printed,"Strasser, Simone|Onondaga Silk Company, Inc.",America,Piece,Sample
,,,,Mid-Atlantic,American,New York,American,Textiles-Printed,"Reckendorf, Fritzi|Onondaga Silk Company, Inc.",America,Piece,Sample
,,,,New England,American,Manchester and Hartford,American,Textiles-Printed,Cheney Brothers,America,Piece,Sample
,,,,Mid-Atlantic,American,New York,American,Textiles-Printed,"Crawford, M. D. C.|Converse and Company ",America,Sample,Textile sample
,,,,Mid-Atlantic,American,New York,American,Textiles-Woven,Catoir Silk Company ,America,Piece,Textile piece
,,,,Mid-Atlantic,American,New York,American,Textiles-Woven,Catoir Silk Company ,America,Piece,Textile piece
,,,,Mid-Atlantic,American,New York,American,Textiles-Woven,Catoir Silk Company ,America,Piece,Textile piece
,,,,Mid-Atlantic,American,New York,American,Textiles-Woven,Catoir Silk Company ,America,Piece,Textile piece
,,,,Mid-Atlantic,American,New York,American,Textiles-Woven,Catoir Silk Company ,America,Piece,Textile piece
,,,,Mid-Atlantic,American,New York,American,Textiles-Printed,"Crawford, M. D. C.|Converse and Company ",America,Sample,Textile sample
,,,,Mid-Atlantic,American,New York,American,Textiles-Woven,Catoir Silk Company ,America,Piece,Textile piece
,,,Brooklyn,,,New York,American,Ceramics,Cartlidge and Company Charles,United States,Cup,Cup
,,,Brooklyn,,,New York,American,Ceramics,Cartlidge and Company Charles,United States,Saucer,Saucer
,,,Sullivan County,,,Monticello,American,Textiles,"Trowbridge, Anna Susan Ruddick",United States,Log Cabin Crib Quilt,Quilt
,,,,Mid-Atlantic,American,New York,American,Textiles-Woven,Catoir Silk Company ,America,Piece,Textile piece
,,,,Mid-Atlantic,American,New York,American,Textiles-Woven,Catoir Silk Company ,America,Piece,Textile piece
,,,,Mid-Atlantic,American,New York,American,Textiles-Woven,Catoir Silk Company ,America,Piece,Textile piece
,,,,Mid-Atlantic,American,New York,American,Textiles-Woven,Catoir Silk Company ,America,Piece,Textile piece
,,,Brooklyn,,American,New York,American,Ceramics,Faience Manufacturing Company ,United States,Vase,Vase
,,,,Mid-Atlantic,American,New York,American,Textiles-Printed,"Crawford, M. D. C.|Converse and Company ",America,Sample,Textile sample
,,,,,Italian,Pisa,Central Italian,Sculpture-Stone,"Pisano, Giovanni",Italy,Pilaster (Tetramorph) from the Parapet of a Pulpit with Symbol of the Evangelists,Pilaster
,,,,,American,Cleveland,American,Furniture,"Van Dorn Iron Works Company The|Wright, Frank Lloyd",United States,Side Chair,Side Chair
,,,Staffordshire,,British,Stoke-on-Trent,British (American market),Ceramics,"Wood & Sons, Enoch",England,Sauceboat,Sauceboat
reign of Ramesses II,"New Kingdom, Ramesside",Dynasty 19,,"Upper Egypt, Thebes",,,,,"Davies, Norman de Garis",Egypt,"Building a Catafalque, Tomb of Ipuy","Facsimile, Ipuy (TT 217), catafalque"
,,,Queens,,American,New York,American,Ceramics,"Volkmar Ceramic Company|Volkmar, Charles",United States,Vase,Vase
reign of Akhenaten,"New Kingdom, Amarna Period",Dynasty 18,,Middle Egypt,,,,,"Davies, Nina de Garis|Davies, Norman de Garis",Egypt,Facsimile painting from the 'Green Room' in the North Palace at Amarna,"Facsimile, Amarna, North Palace, papyrus swamp"
reign of Thutmose IV,Twentieth Century; original New Kingdom,Dynasty 18,|,"Upper Egypt, Thebes",,,,,"Wilkinson, Charles K.",Egypt,Seated woman with Two Female Servants,"Facsimile, Djeserkareseneb (TT 38), banquet, chair"
,,,,,American,New York,American,Glass,"Tiffany, Louis Comfort|Tiffany Glass and Decorating Company|Tiffany Studios ",United States,Compote,Compote
,,,,,Italian,Pisa,Central Italian,Sculpture-Stone,"Pisano, Giovanni",Italy,Pilaster of Angels Sounding Trumpets from the Parapet of a Pulpit,Pilaster
,,,,,Italian,Pisa,Central Italian,Sculpture-Stone,"Pisano, Giovanni",Italy,Pilaster of Angels Sounding Trumpets from the Parapet of a Pulpit,Pilaster
reign of Ramesses II,"Original New Kingdom, Ramesside",Dynasty 19,,"Upper Egypt, Thebes",,,,,"Davies, Nina de Garis",Egypt,Queen Nefertari Playing Senet,"Facsimile, QV 66, Nefertari"
,,,,,American|American,Montclair,American,Chordophone-Lute-bowed-unfretted,Hutchins Carleen M.|McLoughlin Thomas P.|Mizelle Diana G.,United States,Small Bass Violin,Small Bass Violin
reign of Ramesses I–Ramesses II,Twentieth Century; original New Kingdom,Dynasty 19,|,"Upper Egypt, Thebes",,,,,"Wilkinson, Charles K.",Egypt,Sennedjem and Iineferti in the Fields of Iaru,"Facsimile, Sennedjem (TT 1), Iaru"
,,,,Mid-Atlantic,American,New York,American,Textiles-Printed,"Crawford, M. D. C.|Converse and Company ",America,Sample,Textile sample
reign of Haremhab,Twentieth Century; original New Kingdom,Dynasty 18,,"Upper Egypt, Thebes",,,,,"Crane, Lancelot",Egypt,Facsimile of the south side of the sarcophagus of King Haremhab,"Facsimile, sarcophagus, Haremhab, KV 57"
,,,Queens,,,New York,American,Natural Substances,Tiffany Studios ,United States,Photograph Album,Photograph album
,,,Queens,,,New York,American,Natural Substances,Tiffany Studios ,United States,Photograph Album,Photograph album
reign of Amenhotep II,New Kingdom,Dynasty 18,,"Upper Egypt, Thebes",,,,,"Davies, Nina de Garis",Egypt,Ibex and Dog from the Tomb of Qenamun,"Facsimile, Qenamun (TT 93), hunting"
,,,Staffordshire,,American,,British (American market),Ceramics,"Emmet, Rosina|Wedgwood and Sons, Josiah",England,M. B. Brown,Plaque
,,,,Mid-Atlantic,American,New York,American,Textiles-Printed,"Crawford, M. D. C.|Converse and Company ",America,Sample,Textile sample
,,,Brooklyn,,,New York,American,Ceramics,"Cartlidge and Company Charles|Jones, Josiah",United States,General Zachary Taylor,Plaque
,,,,Mid-Atlantic,American,New York,American,Textiles-Printed,"Crawford, M. D. C.|Converse and Company ",America,Sample,Textile sample
,,,,Mid-Atlantic,American,New York,American,Textiles-Printed,"Crawford, M. D. C.|Converse and Company ",America,Sample,Textile sample
,,,,Mid-Atlantic,American,New York,American,Textiles-Printed,"Crawford, M. D. C.|Converse and Company ",America,Sample,Textile sample
,,,,Mid-Atlantic,"American, born Germany",New York,American,Textiles-Printed,"Allesch, Marianna von|McBratney and Company",America,Sample,Textile sample
,,,,,American,New York,American,Glass,"Tiffany, Louis Comfort|Tiffany Studios |Tiffany Glass and Decorating Company",United States,Chandelier,Chandelier
,,,Staffordshire,,British,Stoke-on-Trent,British (American market),Ceramics,"Stevenson, Ralph",England,Plate,Plate
,,,,,American,New York,American,Textiles,"Wright, Frank Lloyd|Schumacher & Co., F.",United States,Curtain,Curtain
,,,,,German,Ingolstadt,German,Ivories-Horn|Metalwork-Silver,Greiff Hans,Germany,Beaker,Beaker
,,,Brooklyn,,,New York,American,Ceramics,"Cartlidge and Company Charles|Jones, Josiah",United States,Charles Cartlidge (Bust),Sculpture
,,,,,North Netherlandish,Strasbourg,German,Sculpture-Wood,"Gerhaert von Leyden, Niclaus",Germany,Reliquary Bust of Saint Barbara,Reliquary bust
,,,,,North Netherlandish,Strasbourg,German,Sculpture-Wood,"Gerhaert von Leyden, Niclaus",Germany,Reliquary Bust of Saint Catherine of Alexandria,Reliquary bust
,,,,,American,New York,American,Textiles,"Wright, Frank Lloyd|Schumacher & Co., F.",United States,"Textile, Design 104",Piece
,,,Delaware,,American,Rose Valley,American,Ceramics,"Jervis, William P.|Rose Valley Pottery ",United States,Vase,Vase
,,,,,American|American,Boston,American,Natural Substances,"Dering, Mary|Dering, Elizabeth",United States,Quillwork hatchment of Dering coat of arms,Coat of arms
,,,Staffordshire,,British,Stoke-on-Trent,British (American market),Ceramics,"Wood, Enoch",England,Bust of George Washington,Bust
,,,Bouches-du-Rhône,,French,Marseille,French,Ceramics,"Perrin, Pierrette Caudelot",France,Benjamin Franklin,Plate
reign of Amenhotep II–Amenhotep III,Twentieth Century; original New Kingdom,Dynasty 18,|,"Upper Egypt, Thebes",,,,,"Wilkinson, Charles K.",Egypt,Upper wall and ceiling motif,"Facsimile, Kha (TT 8), ceiling"
Joint reign of Hatshepsut and Thutmose III,Original: New Kingdom,Dynasty 18,,"Upper Egypt, Thebes",,,,,"Wilkinson, Charles K.",Egypt,Astronomical Ceiling,"Facsimile, Senenmut (TT 353), astronomical ceiling"
,,,Staffordshire,,British,Stoke-on-Trent,British (American market),Ceramics,"Wood & Sons, Enoch",England,Plate,Plate
reign of Amenhotep III,New Kingdom,Dynasty 18,,"Upper Egypt, Thebes",,,,,"Davies, Nina de Garis",Egypt,"Funeral Procession, Tomb of Pairy","Facsimile, Pairy (TT 139), funeral"
reign of Ramesses II,Twentieth Century; original New Kingdom,original Dynasty 19,,"Upper Egypt, Thebes",,,,,"Wilkinson, Charles K.",Egypt,Procession from the Temple of Amun,"Facsimile, Panehsy (TT 16), procession, Amun"
reign of Ramesses II,Twentieth Century; original New Kingdom,Dynasty 19,,"Upper Egypt, Thebes",,,,,"Davies, Nina de Garis",Egypt,Statue of Deified Amenhotep I,"Facsimile, Panehsy (TT 16), Amenhotep I"
,,,Staffordshire,,British,Stoke-on-Trent,British (American market),Ceramics,"Wood & Sons, Enoch",England,Plate,Plate
reign of Ramesses II,"New Kingdom, Ramesside",Dynasty 19,,"Upper Egypt, Thebes",,,,,"Davies, Nina de Garis",Egypt,"Queen Nefertari Kneeling in Adoration, Tomb of Nefertari","Facsimile, Nefertari (QV 66)"
reign of Amenhotep II,New Kingdom,Dynasty 18,,"Upper Egypt, Thebes",,,,,"Davies, Nina de Garis",Egypt,"Female Dancers in Funeral Procession, Tomb of Qenamun","Facsimile, Qenamun (TT 93), dancer, music"
reign of Ramesses II,"New Kingdom, Ramesside",Dynasty 19,,"Upper Egypt, Thebes",,,,,"Davies, Nina de Garis",Egypt,"Vignette from the Book of the Dead, Tomb of Nefertari","Facsimile, Nefertari (QV 66)"
reign of Haremhab,Twentieth Century; original New Kingdom,Dynasty 18,,"Upper Egypt, Thebes",,,,,"Crane, Lancelot",Egypt,"Facsimile Detail of the Book of Gates, Tomb of Haremhab","Facsimile, Haremhab, KV 57"
,,,,,Italian,Florence,Italian,Paintings-Canvas,Lorenzo Monaco (Piero di Giovanni),Italy,The Intercession of Christ and the Virgin,Painting
Joint reign of Hatshepsut and Thutmose III,New Kingdom,Dynasty 18,,"Upper Egypt, Thebes",,,,,"Davies, Nina de Garis",Egypt,Thutmose I and His Mother Seniseneb,"Facsimile, Hatshepsut, Thutmose I, Seniseneb"
,,,Staffordshire,,British,Stoke-on-Trent,British (American market),Ceramics,"Wood & Sons, Enoch",England,Plate,Plate
,,,Staffordshire,,British,Stoke-on-Trent,British (American market),Ceramics,"Wood & Sons, Enoch",England,Plate,Plate
,,,,,Spanish,Lerida,Catalan,Paintings-Fresco,Master of Pedret,Spain,The Virgin and Child in Majesty and the Adoration of the Magi,Fresco
,,,Staffordshire,,British,Stoke-on-Trent,British (American market),Ceramics,"Wood & Sons, Enoch",England,Plate,Plate
reign of Haremhab,Twentieth Century; original New Kingdom,Dynasty 18,,"Upper Egypt, Thebes",,,,,"Crane, Lancelot",Egypt,"Detail from the Book of Gates, Tomb of Haremhab","Facsimile, Haremhab, KV 57"
,,,Staffordshire,,British,Stoke-on-Trent,British (American market),Ceramics,"Clews, James and Ralph",England,Soup Plate,Soup plate
reign of Seti I,"Twentieth Century; original New Kingdom, Ramesside",Dynasty 19,,"Upper Egypt, Thebes",,,,,"Davies, Norman de Garis",Egypt,"Userhat and Wife Visit Abydos, Tomb of Userhat","Facsimile, Userhat (TT 51), voyage to Abydos"
reign of Thutmose III–early Amenhotep II,New Kingdom,Dynasty 18,,"Upper Egypt, Thebes",,,,,"Davies, Nina de Garis",Egypt,"Syrians Bringing Vessels and Weapons, Tomb of Rekhmire","Facsimile, Rekhmire (TT 100), Asians"
reign of Mentuhotep II,First Intermediate Period–Middle Kingdom,Dynasty 11,,"Upper Egypt, Thebes",,,,,"Wilkinson, Charles K.",Egypt,Facsimile of the paintings on the south wall of the burial crypt in the tomb of Khety,"Facsimile, Khety (TT 311, MMA 508), friese d'objets"
reign of Haremhab,Twentieth Century; original New Kingdom,Dynasty 18,,"Upper Egypt, Thebes",,,,,"Crane, Lancelot",Egypt,"Facsimile of an Unfinished Section of the Book of Gates, Tomb of Haremhab","Facsimile, Haremhab, KV 57"
,,,,,German,Würzburg,German,Sculpture-Wood,Riemenschneider Tilman,Germany,Standing Bishop,Statue
,,,Staffordshire,,British,Stoke-on-Trent,British (American market),Ceramics,"William, Adams & Sons",England,Plate,Plate
,,,Staffordshire,,British,Stoke-on-Trent,British (American market),Ceramics,"William, Adams & Sons",England,Plate,Plate
reign of Haremhab,Twentieth Century; original New Kingdom,Dynasty 18,,"Upper Egypt, Thebes",,,,,"Crane, Lancelot",Egypt,"The King with Anubis, Tomb of Haremhab","Facsimile, Haremhab, KV 57"
,,,,,American,Chicago,American,Glass,"Wright, Frank Lloyd|Luxfer Prism Company ",United States,Tile,Tile
,,,,,American,Chicago,American,Glass,"Wright, Frank Lloyd|Luxfer Prism Company ",United States,Tile,Tile
reign of Amenhotep III,Twentieth Century; original New Kingdom,Dynasty 18,,"Upper Egypt, Thebes",,,,,"Davies, Nina de Garis",Egypt,"Amenhotep III and his Mother, Mutemwia, in a Kiosk","Facsimile, Anen, TT 226, Amenhotep III, Mutemwia"
,,,,,American,Chicago,American,Glass,"Wright, Frank Lloyd|Luxfer Prism Company ",United States,Tile,Tile
,,,Staffordshire|Staffordshire,,British,Stoke-on-Trent|Stoke-on-Trent,British (American market),Ceramics,"Ridgway, John & William",England|England,Platter,Platter
,,,Staffordshire,,British,Stoke-on-Trent,British (American market),Ceramics,"Ridgway, John & William",England,Platter,Platter
reign of Thutmose III–early Amenhotep II,New Kingdom,Dynasty 18,,"Upper Egypt, Thebes",,,,,"Davies, Nina de Garis",Egypt,"Provisions from Nubia Stored in the Temple, Tomb of Rekhmire","Facsimile, Rekhmire (TT 100), provisions, Nubia"
reign of Akhenaten,"New Kingdom, Amarna Period",Dynasty 18,,Middle Egypt,,,,,"Davies, Nina de Garis",Egypt,Two Princesses,"Facsimile, Amarna, princesses"
,,,,,Italian,,Italian,Sculpture-Wood,"Aquilano, Paolo  ",Italy,Kneeling Virgin,Statue
,,,Staffordshire,,British,Stoke-on-Trent,British (American market),Ceramics,"William, Adams & Sons",England,Platter,Platter
,,,South Yorkshire,,British,Sheffield,American,Silver,"Dixon, James & Sons",England,Tray,Tray
reign of Thutmose III–early Amenhotep II,New Kingdom,Dynasty 18,,"Upper Egypt, Thebes",,,,,"Davies, Nina de Garis",Egypt,"Men from Punt Carrying Gifts, Tomb of Rekhmire","Facsimile, Rekhmire (TT 100), Puntites"
reign of Thutmose III–Amenhotep II,New Kingdom,Dynasty 18,,"Upper Egypt, Thebes",,,,,"Davies, Nina de Garis",Egypt,"Man Making Leather Rope, Tomb of Rekhmire","Facsimile, Rekhmire (TT 100), rope making"
reign of Thutmose III–early Amenhotep II,New Kingdom,Dynasty 18,,"Upper Egypt, Thebes",,,,,"Davies, Nina de Garis",Egypt,"Cretans Bringing Gifts, Tomb of Rekhmire","Facsimile, Rekhmire (TT 100), foreigners, Keftiu"
reign of Thutmose III–early Amenhotep II,New Kingdom,Dynasty 18,,"Upper Egypt, Thebes",,,,,"Davies, Nina de Garis",Egypt,"Gathering Honey, Tomb of Rekhmire","Facsimile, Rekhmire (TT 100), beekeeping"
,,,Staffordshire,,British,Stoke-on-Trent,British (American market),Ceramics,"Clews, James and Ralph",England,Platter,Platter
,,,Frederick County,,,New Bremen,American,Glass,"Amelung, John Frederick|New Bremen Glass Manufactory ",United States,Urn,Urn
,,,Staffordshire,,British,Stoke-on-Trent,British (American market),Ceramics,"Wood & Sons, Enoch",England,Plate,Plate
reign of Ramesses II,"New Kingdom, Ramesside",Dynasty 19,,"Upper Egypt, Thebes",,,,,"Davies, Norman de Garis",Egypt,"Herdsmen and Part of a Market Scene, Tomb of Ipuy","Facsimile, Ipuy (TT 217), market, herdsmen, goats"
,,,Staffordshire,,British,Stoke-on-Trent,British (American market),Ceramics,"Clews, James and Ralph",England,Platter,Platter
,,,,,German,Freiburg im Breisgau(?),German,Sculpture-Wood,"Wydytz, Hans I",Germany,Crucifixion Group,Relief
reign of Haremhab,Twentieth Century; original New Kingdom,Dynasty 18,,"Upper Egypt, Thebes",,,,,"Crane, Lancelot",Egypt,"Facsimile Detail from the Book of Gates, Tomb of Haremhab","Facsimile, Haremhab, KV 57"
reign of Ramesses II,"New Kingdom, Ramesside",Dynasty 19,,"Upper Egypt, Thebes",,,,,"Davies, Nina de Garis",Egypt,"Nakhtamun's Funeral Procession, Tomb of Nakhtamun","Facsimile, Nakhtamun (TT 341), funeral"
,,,Staffordshire,,British,Stoke-on-Trent,British (American market),Ceramics,"Wood & Sons, Enoch",England,Plate,Plate
reign of Ramesses II,"New Kingdom, Ramesside",Dynasty 19,,"Upper Egypt, Thebes",,,,,"Davies, Nina de Garis",Egypt,"Anubis Weighing the Heart, Tomb of Nakhtamun","Facsimile, Nakhtamun (TT 341), Anubis"
,,,Staffordshire,,British,Stoke-on-Trent,British (American market),Ceramics,"Wood & Sons, Enoch",England,Plate,Plate
,,,,,American,Chicago,American,Glass,"Wright, Frank Lloyd|Luxfer Prism Company ",United States,Tile,Tile
,,,,,French,Paris,French,Manuscripts and Illuminations,Le Noir Jean,France,"The Prayer Book of Bonne of Luxembourg, Duchess of Normandy",Psalter and Hours; Manuscript
reign of Thutmose III–early Amenhotep II,New Kingdom,Dynasty 18,,"Upper Egypt, Thebes",,,,,"Davies, Nina de Garis",Egypt,"Provisions Stored in the Temple, Tomb of Rekhmire","Facsimile, Rekhmire (TT 100), provisions magazine"
,,,Brooklyn,,,New York,American,Ceramics,Cartlidge and Company Charles,United States,Slop Bowl,Slop bowl
,,,Staffordshire,,British,Stoke-on-Trent,British (American market),Ceramics,"Clews, James and Ralph",England,Platter,Platter
reign of Thutmose III–early Amenhotep II,New Kingdom,Dynasty 18,,"Upper Egypt, Thebes",,,,,"Davies, Nina de Garis",Egypt,Facsimile painting from the tomb of Rekhmire,"Facsimile, Rekhmire (TT 100), Nubians, baboon, leopard"
reign of Thutmose III–early Amenhotep II,New Kingdom,Dynasty 18,,"Upper Egypt, Thebes",,,,,"Davies, Nina de Garis",Egypt,"Hounds from Nubia, Tomb of Rekhmire","Facsimile, Rekhmire (TT 100), hounds"
,,,,,American,New York,American,Furniture,"Tiffany, Louis Comfort|Tiffany Glass and Decorating Company|Tiffany Studios ",United States,Table,Table
,Second Intermediate Period–Early New Kingdom,Dynasty 17–18,,"Upper Egypt, Thebes",,,,,"Davies, Nina de Garis",Egypt,Seated Woman,"Facsimile, Thebes"
,,,Brooklyn,,,New York,American,Ceramics,Cartlidge and Company Charles,United States,Cup,Cup
reign of Thutmose II–Amenhotep II,New Kingdom,Dynasty 18,,"Upper Egypt, Thebes",,,,,"Davies, Nina de Garis",Egypt,Facsimile painting from the tomb of Rekhmire,"Facsimile, Rekhmire (TT 100)"
reign of Thutmose III,New Kingdom,Dynasty 18,,"Upper Egypt, Thebes",,,,,"Davies, Nina de Garis",Egypt,"Cretans Bringing Gifts, Tomb of Rekhmire","Facsimile, Rekhmire (TT 100), foreigners, Keftiu"
,,,McHenry,,American|American,,American,Ceramics,"Dodd, William J.|Gates Potteries |American Terra Cotta and Ceramic Company ",United States,Vase,Vase
,,,,,German,Strasbourg,German,Sculpture-Wood,"von Hagenau, Nikolaus",present-day France,Saint Anthony Abbot,Statue
,Middle Kingdom,Dynasty 12,,Memphite Region,,,,,"Lansing, Ambrose",Egypt,Facsimile of Senwosretankh's false door,"Facsimile, Senwosretankh's false door"
reign of Mentuhotep II (ca. 2051–2030 B.C.),Modern; original First Intermediate Period–Middle Kingdom,Dynasty 11,,"Upper Egypt, Thebes",,,,,"Wilkinson, Charles K.",Africa,Facsimile of the painting on the inner front side of the sarcophagus of Aashyt,"Facsimile, Aashyt, sarcophagus"
reign of Thutmose III–early Amenhotep II,New Kingdom,Dynasty 18,,"Upper Egypt, Thebes",,,,,"Davies, Nina de Garis",Egypt,"Women at a Banquet, Tomb of Rekhmire","Facsimile, Rekhmire (TT 100), banquet"
,,,,,Austrian or German,Bruneck,Austrian,Sculpture-Wood,"Pacher, Michael","Austria (now Italy, Trentino-Alto Adige)",Saint Margaret,Statue
,,,,,Italian,probably Pisa,Italian,Sculpture-Architectural,Guglielmus,Central Italy,Holy-water Font,Font
,,,Brooklyn,,,New York,American,Ceramics,Cartlidge and Company Charles,United States,Saucer,Saucer
reign of Thutmose IV,New Kingdom,Dynasty 18,,"Upper Egypt, Thebes",,,,,"Davies, Nina de Garis",Egypt,Military Musicians Showing Nubian and Egyptian Styles,"Facsimile, Tjeneny (TT 74), Nubian soldiers"
Reign of Thutmose I–Thutmose III,New Kingdom,Dynasty 18,,"Upper Egypt, Thebes",,,,,"Davies, Nina de Garis",Egypt,"Syrians Bringing Horses, Tomb of Rekhmire","Facsimile, Rekhmire (TT 100), Syrians, horses"
reign of Seti I,"Twentieth Century; original New Kingdom, Ramesside",Dynasty 19,,"Upper Egypt, Thebes",,,,,"Davies, Norman de Garis",Egypt,"Userhat Kneeling Before Osiris and the Goddess of the West, Tomb of Userhat","Facsimile, Userhat (TT 51), Osiris, goddess of West"
reign of Haremhab,Twentieth Century; original New Kingdom,Dynasty 18,,"Upper Egypt, Thebes",,,,,"Crane, Lancelot",Egypt,"The King with Isis, Tomb of Haremhab","Facsimile, Haremhab, KV 57"
reign of Amenhotep II,New Kingdom,Dynasty 18,,"Upper Egypt, Thebes",,,,|,"Davies, Nina de Garis|Davies, Norman de Garis",Egypt,"Female Celebrants in Funeral Procession, Tomb of Qenamun","Facsimile, Qenamun (TT 93), music, dancer, sistrum, menat"
reign of Haremhab,Twentieth Century; original New Kingdom,Dynasty 18,,"Upper Egypt, Thebes",,,,,"Crane, Lancelot",Egypt,"The King and Horus, Tomb of Haremhab","Facsimile, Haremhab, KV 57"
,,,Frederick County,,,New Bremen,American,Glass,"Amelung, John Frederick|New Bremen Glass Manufactory ",United States,Salt,Salt
reign of Thutmose III–early Amenhotep II,New Kingdom,Dynasty 18,,"Upper Egypt, Thebes",,,,,"Davies, Nina de Garis",Egypt,"Gifts from the Keftiu, Tomb of Rekhmire","Facsimile, Rekhmire (TT 100), offerings, Keftiu"
,,,,,American,New York,American,Metal,"Tiffany, Louis Comfort|Tiffany Studios ",United States,Glue Pot,Glue pot
